comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
accountants-and-auditors,13-2011,Accountants and Auditors,1,1.481956,Accountants and auditors,felten_base_aioe,slug,AIOE_DataAppendix.xlsx,Appendix A,1.2870982920297882,0.9878419452887538
actors,27-2011,Actors,1,0.1590935,Actors,felten_base_aioe,slug,AIOE_DataAppendix.xlsx,Appendix A,-0.12834743868133341,0.4376899696048632
actuaries,15-2011,Actuaries,1,1.516474,Actuaries,felten_base_aioe,slug,AIOE_DataAppendix.xlsx,Appendix A,1.3240321046767463,0.993920972644377
administrative-services-managers,11-3011,Administrative Services Managers,1,0.7398278,Administrative services and facilities managers,felten_base_aioe,slug,AIOE_DataAppendix.xlsx,Appendix A,0.493030736006143,0.5835866261398176
adult-literacy-and-ged-teachers,25-3011,"Adult Literacy, Remedial Education, and GED Teachers and Instructors",1,1.348951,Adult basic and secondary education and ESL teachers,felten_base_aioe,slug,AIOE_DataAppendix.xlsx,Appendix A,1.144784665773671,0.9027355623100304
advertising-promotions-and-marketing-managers,11-2011 | 11-2021,Advertising and Promotions Managers | Marketing Managers,2,1.3047095,"Advertising, promotions, and marketing managers",felten_base_aioe,slug,AIOE_DataAppendix.xlsx,Appendix A,1.097446834143206,0.8662613981762918
advertising-sales-agents,41-3011,Advertising Sales Agents,1,1.162588,Advertising sales agents,felten_base_aioe,slug,AIOE_DataAppendix.xlsx,Appendix A,0.9453786710368659,0.7720364741641338
aerospace-engineering-and-operations-technicians,17-3021,Aerospace Engineering and Operations Technicians,1,0.3909402,Aerospace engineering and operations technologists and technicians,felten_base_aioe,slug,AIOE_DataAppendix.xlsx,Appendix A,0.11972552558703328,0.48936170212765956
aerospace-engineers,17-2011,Aerospace Engineers,1,1.338738,Aerospace engineers,felten_base_aioe,slug,AIOE_DataAppendix.xlsx,Appendix A,1.1338568881340805,0.8844984802431611
agricultural-and-food-science-technicians,19-4011,Agricultural and Food Science Technicians,1,0.095719,Agricultural and food science technicians,felten_base_aioe,slug,AIOE_DataAppendix.xlsx,Appendix A,-0.1961573323482504,0.4133738601823708
agricultural-and-food-scientists,19-1011 | 19-1012 | 19-1013,Animal Scientists | Food Scientists and Technologists | Soil and Plant Scientists,3,0.8225950333333333,Agricultural and food scientists,felten_base_aioe,slug,AIOE_DataAppendix.xlsx,Appendix A,0.5815906030100363,0.601823708206687
