comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
accountants-and-auditors,13-2011,Accountants and Auditors,1,1.214001,Accountants and auditors,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,1.0630375907540472,0.8237082066869301
actors,27-2011,Actors,1,0.5784018,Actors,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,0.3536102490711761,0.574468085106383
actuaries,15-2011,Actuaries,1,1.199589,Actuaries,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,1.0469515622500252,0.8115501519756839
administrative-services-managers,11-3011,Administrative Services Managers,1,0.7681937,Administrative services and facilities managers,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,0.5654474620348509,0.6291793313069909
adult-literacy-and-ged-teachers,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,1,1.440082,Adult basic and secondary education and ESL teachers,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,1.3153790707858113,0.9513677811550152
advertising-promotions-and-marketing-managers,11-2011 | 11-2021,Advertising and Promotions Managers | Marketing Managers,2,1.210499,"Advertising, promotions, and marketing managers",felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,1.0591288153015712,0.8206686930091185
advertising-sales-agents,41-3011,Advertising Sales Agents,1,1.122101,Advertising sales agents,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,0.960462929394096,0.7811550151975684
aerospace-engineering-and-operations-technicians,17-3021,Aerospace Engineering and Operations Technicians,1,0.2007942,Aerospace engineering and operations technologists and technicians,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,-0.06785843098262014,0.44984802431610943
aerospace-engineers,17-2011,Aerospace Engineers,1,1.11685,Aerospace engineers,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,0.9546019985257488,0.7781155015197568
agricultural-and-food-science-technicians,19-4011,Agricultural and Food Science Technicians,1,-0.0492323,Agricultural and food science technicians,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,-0.3469268049599196,0.3799392097264438
agricultural-and-food-scientists,19-1011 | 19-1012 | 19-1013,Animal Scientists | Food Scientists and Technologists | Soil and Plant Scientists,3,0.7178145333333333,Agricultural and food scientists,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,0.5092164940214682,0.6139817629179332
agricultural-engineers,17-2021,Agricultural Engineers,1,0.6895172,Agricultural engineers,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,0.4776322787433798,0.6048632218844985
agricultural-workers,45-2021 | 45-2091 | 45-2092 | 45-2093,"Animal Breeders | Agricultural Equipment Operators | Farmworkers and Laborers, Crop, Nursery, and Greenhouse | Farmworkers, Farm, Ranch, and Aquacultural Animals",4,-1.1756017,Agricultural workers,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,-1.6041298492603695,0.0851063829787234
air-traffic-controllers,53-2021,Air Traffic Controllers,1,0.647652,Air traffic controllers,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,0.4309042187568006,0.5927051671732523
aircraft-and-avionics-equipment-mechanics-and-technicians,49-2091 | 49-3011,Avionics Technicians | Aircraft Mechanics and Service Technicians,2,-0.5390015499999999,Aircraft and avionics equipment mechanics and technicians,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,-0.8935852920466142,0.23404255319148937
airline-and-commercial-pilots,53-2011 | 53-2012,"Airline Pilots, Copilots, and Flight Engineers | Commercial Pilots",2,-0.7014266,Airline and commercial pilots,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,-1.0748768535278235,0.19148936170212766
animal-care-and-service-workers,39-2011 | 39-2021,Animal Trainers | Nonfarm Animal Caretakers,2,-0.62867355,Animal care and service workers,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,-0.9936731596578171,0.2066869300911854
announcers,27-3011,Radio and Television Announcers,1,1.123739,Announcers and DJs,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,0.9622911915846032,0.78419452887538
anthropologists-and-archeologists,19-3091,Anthropologists and Archeologists,1,0.7388214,Anthropologists and archeologists,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,0.532663417139716,0.6231003039513677
arbitrators-mediators-and-conciliators,23-1022,"Arbitrators, Mediators, and Conciliators",1,1.647241,"Arbitrators, mediators, and conciliators",felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,1.5466006624361497,0.993920972644377
architects,17-1011,"Architects, Except Landscape and Naval",1,0.6103589,Architects,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,0.3892793318845178,0.5775075987841946
architectural-and-engineering-managers,11-9041,Architectural and Engineering Managers,1,0.647411,Architectural and engineering managers,felten_language_modeling_aioe,slug,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,0.43063522535758675,0.5896656534954408
